anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1962,17,3,Partido 3er Puesto,8,6,4,0,2,10,8,2,t
1966,17,13,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,t
1970,17,,no participo,,,,,,,,,f
1974,17,11,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1,t
1978,17,,no participo,,,,,,,,,f
1982,17,22,Grupos 1ra Ronda,0,3,0,0,3,3,8,-5,t
1986,17,,no participo,,,,,,,,,f
1990,17,,no participo,,,,,,,,,f
1994,17,,no participo,,,,,,,,,f
1998,17,16,Octavos de Final,3,4,0,3,1,5,8,-3,t
2002,17,,no participo,,,,,,,,,f
2006,17,,no participo,,,,,,,,,f
2010,17,10,Octavos de Final,6,4,2,0,2,3,5,-2,t
2014,17,9,Octavos de Final,7,4,2,1,1,6,4,2,t
2018,17,,no participo,,,,,,,,,f
2022,17,,no participo,,,,,,,,,f
2026,17,,no participo,,,,,,,,,f
1930,18,,no participo,,,,,,,,,f
1934,18,,no participo,,,,,,,,,f
1938,18,,no participo,,,,,,,,,f
1950,18,,no participo,,,,,,,,,f
1954,18,,no participo,,,,,,,,,f
1958,18,,no participo,,,,,,,,,f
1962,18,,no participo,,,,,,,,,f
1966,18,,no participo,,,,,,,,,f
1970,18,,no participo,,,,,,,,,f
1974,18,,no participo,,,,,,,,,f
1978,18,,no participo,,,,,,,,,f
1982,18,,no participo,,,,,,,,,f
1986,18,,no participo,,,,,,,,,f
1990,18,,no participo,,,,,,,,,f
1994,18,,no participo,,,,,,,,,f
1998,18,,no participo,,,,,,,,,f
2002,18,31,Grupos 1ra Ronda,0,3,0,0,3,0,9,-9,t
2006,18,,no participo,,,,,,,,,f
2010,18,,no participo,,,,,,,,,f
2014,18,,no participo,,,,,,,,,f
2018,18,,no participo,,,,,,,,,f
2022,18,,no participo,,,,,,,,,f
2026,18,,no participo,,,,,,,,,f
1930,19,,no participo,,,,,,,,,f
1934,19,,no participo,,,,,,,,,f
1938,19,,no participo,,,,,,,,,f
1950,19,,no participo,,,,,,,,,f
1954,19,,no participo,,,,,,,,,f
1958,19,,no participo,,,,,,,,,f
1962,19,14,Grupos 1ra Ronda,1,3,0,1,2,5,11,-6,t
1966,19,,no participo,,,,,,,,,f
1970,19,,no participo,,,,,,,,,f
1974,19,,no participo,,,,,,,,,f
1978,19,,no participo,,,,,,,,,f
1982,19,,no participo,,,,,,,,,f
1986,19,,no participo,,,,,,,,,f
1990,19,14,Octavos de Final,3,4,1,1,2,4,4,0,t
1994,19,19,Grupos 1ra Ronda,3,3,1,0,2,4,5,-1,t
1998,19,21,Grupos 1ra Ronda,3,3,1,0,2,1,3,-2,t
2002,19,,no participo,,,,,,,,,f
2006,19,,no participo,,,,,,,,,f
2010,19,,no participo,,,,,,,,,f
2014,19,5,Cuartos de Final,12,5,4,0,1,12,4,8,t
2018,19,9,Octavos de Final,7,4,2,1,1,6,3,3,t
2022,19,,no participo,,,,,,,,,f
2026,19,,clasificado,0,0,0,0,0,0,0,0,t
1930,20,,no participo,,,,,,,,,f
1934,20,,no participo,,,,,,,,,f
1938,20,,no participo,,,,,,,,,f
1950,20,,no participo,,,,,,,,,f
1954,20,,no participo,,,,,,,,,f
1958,20,,no participo,,,,,,,,,f
1962,20,,no participo,,,,,,,,,f
1966,20,8,Cuartos de Final,3,4,1,1,2,5,9,-4,t
1970,20,,no participo,,,,,,,,,f
1974,20,,no participo,,,,,,,,,f
1978,20,,no participo,,,,,,,,,f
1982,20,,no participo,,,,,,,,,f
1986,20,,no participo,,,,,,,,,f
1990,20,,no participo,,,,,,,,,f
1994,20,,no participo,,,,,,,,,f
1998,20,,no participo,,,,,,,,,f
2002,20,,no participo,,,,,,,,,f
2006,20,,no participo,,,,,,,,,f
2010,20,32,Grupos 1ra Ronda,0,3,0,0,3,1,12,-11,t
2014,20,,no participo,,,,,,,,,f
2018,20,,no participo,,,,,,,,,f
2022,20,,no participo,,,,,,,,,f
2026,20,,no participo,,,,,,,,,f
1930,21,,no participo,,,,,,,,,f
1934,21,,no participo,,,,,,,,,f
1938,21,,no participo,,,,,,,,,f
1950,21,,no participo,,,,,,,,,f
1954,21,16,Grupos 1ra Ronda,0,2,0,0,2,0,16,-16,t
1958,21,,no participo,,,,,,,,,f
1962,21,,no participo,,,,,,,,,f
1966,21,,no participo,,,,,,,,,f
1970,21,,no participo,,,,,,,,,f
1974,21,,no participo,,,,,,,,,f
1978,21,,no participo,,,,,,,,,f
1982,21,,no participo,,,,,,,,,f
1986,21,20,Grupos 1ra Ronda,1,3,0,1,2,4,7,-3,t
1990,21,22,Grupos 1ra Ronda,0,3,0,0,3,1,6,-5,t
1994,21,20,Grupos 1ra Ronda,2,3,0,2,1,4,5,-1,t
1998,21,30,Grupos 1ra Ronda,1,3,0,1,2,2,9,-7,t
2002,21,4,Partido 3er Puesto,11,7,3,2,2,8,6,2,t
2006,21,17,Grupos 1ra Ronda,4,3,1,1,1,3,4,-1,t
2010,21,15,Octavos de Final,4,4,1,1,2,6,8,-2,t
2014,21,27,Grupos 1ra Ronda,1,3,0,1,2,3,6,-3,t
2018,21,19,Grupos 1ra Ronda,3,3,1,0,2,3,3,0,t
2022,21,16,Octavos de Final,4,4,1,1,2,5,8,-3,t
2026,21,,clasificado,0,0,0,0,0,0,0,0,t
1930,23,,no participo,,,,,,,,,f
1934,23,,no participo,,,,,,,,,f
1938,23,,no participo,,,,,,,,,f
1950,23,,no participo,,,,,,,,,f
1954,23,,no participo,,,,,,,,,f
1958,23,,no participo,,,,,,,,,f
1962,23,,no participo,,,,,,,,,f
