jugador_id,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,altura,apodo,sitio_web,redes_sociales
245,Nacer Chadli,,02-Ago-1989,,"1.87 m / 6' 1""",,,
246,Emil Forsberg,,23-Oct-1991,,"1.79 m / 5' 10""",,,
247,Raphael Varane,,25-Apr-1993,,"1.91 m / 6' 3""",,,
248,Fernandinho (en contra),,,,,,,
249,Kevin De Bruyne,,28-Jun-1991,,"1.81 m / 5' 11""",,,
250,Renato Augusto,,08-Feb-1988,,"1.86 m / 6' 1""",,,
251,Domagoj Vida,,29-Apr-1989,,"1.84 m / 6' 0""",,,
252,Mário Fernandes,,19-Sep-1990,,"1.89 m / 6' 2""",,,
253,Harry Maguire,,05-Mar-1993,,"1.93 m / 6' 4""",,,
254,Dele Alli,,11-Apr-1996,,"1.88 m / 6' 2""",,,
255,Samuel Umtiti,,14-Nov-1993,,"1.82 m / 5' 11""",,,
256,Kieran Trippier,,19-Sep-1990,,"1.78 m / 5' 10""",,,
257,Thomas Meunier,,12-Sep-1991,,"1.90 m / 6' 3""",,,
258,Mario Mandzukic (en contra),,,,,,,
259,Paul Pogba,,15-Mar-1993,,"1.90 m / 6' 3""",,,
260,Marcelo (en contra),,,,,,,
261,Oscar,,09-Sep-1991,,"1.80 m / 5' 10""",,,
262,Oribe Peralta,,12-Ene-1984,,"1.80 m / 5' 10""",,,
263,Xabi Alonso,,25-Nov-1981,,"1.83 m / 6' 0""",,,
264,Robin Van Persie,,06-Ago-1983,,"1.83 m / 6' 0""",,,
265,Arjen Robben,,23-Ene-1984,,"1.80 m / 5' 10""",,,
266,Stefan de Vrij,,05-Feb-1992,,"1.90 m / 6' 3""",,,
267,Alexis Sanchez,,19-Dic-1988,,"1.69 m / 5' 7""",,,
268,Jorge Valdivia,,19-Oct-1983,,"1.73 m / 5' 8""",,,
269,Tim Cahill,,06-Dic-1979,,"1.80 m / 5' 10""",,,
270,Jean Beausejour,,01-Jun-1984,,"1.78 m / 5' 10""",,,
271,Pablo Armero,,02-Nov-1986,,"1.74 m / 5' 8""",,,
272,Teófilo Gutiérrez,,17-May-1985,,"1.78 m / 5' 10""",,,
273,Wilfried Bony,,10-Dic-1988,,"1.82 m / 5' 11""",,,
274,Gervinho,,27-May-1987,,"1.79 m / 5' 10""",,,
275,Joel Campbell,,26-Jun-1992,,"1.78 m / 5' 10""",,,
276,Óscar Duarte,,03-Jun-1989,,"1.86 m / 6' 1""",,,
277,Marco Ureña,,05-Mar-1990,,"1.79 m / 5' 10""",,,
278,Claudio Marchisio,,19-Ene-1986,,"1.79 m / 5' 10""",,,
279,Daniel Sturridge,,01-Sep-1989,,"1.88 m / 6' 2""",,,
280,Mario Balotelli,,12-Ago-1990,,"1.89 m / 6' 2""",,,
281,Admir Mehmedi,,16-Mar-1991,,"1.78 m / 5' 10""",,,
282,Haris Seferovic,,22-Feb-1992,,"1.86 m / 6' 1""",,,
283,Noel Valladares (en contra),,,,,,,
284,Sead Kolasinac (en contra),,,,,,,
285,Vedad Ibisevic,,06-Ago-1984,,"1.88 m / 6' 2""",,,
286,Mats Hummels,,16-Dic-1988,,"1.92 m / 6' 3""",,,
287,Clint Dempsey,,09-Mar-1983,,"1.85 m / 6' 0""",,,
288,John Anthony Brooks,,28-Ene-1993,,"1.93 m / 6' 3""",,,
289,Sofiane Feghouli,,26-Dic-1989,,"1.78 m / 5' 10""",,,
290,Keun-Ho Lee,,11-Apr-1985,,"1.76 m / 5' 9""",,,
291,Alexander Kerzhakov,,27-Nov-1982,,"1.75 m / 5' 8""",,,
292,Ivica Olic,,14-Sep-1979,,"1.83 m / 6' 0""",,,
293,Eduardo Vargas,,20-Nov-1989,,"1.75 m / 5' 8""",,,
294,Charles Aránguiz,,17-Apr-1989,,"1.72 m / 5' 7""",,,
295,Wayne Rooney,,24-Oct-1985,,"1.76 m / 5' 9""",,,
296,Bryan Ruiz,,18-Ago-1985,,"1.87 m / 6' 2""",,,
297,Blaise Matuidi,,09-Apr-1987,,"1.75 m / 5' 8""",,,
298,Mathieu Valbuena,,28-Sep-1984,,"1.67 m / 5' 5""",,,
299,Moussa Sissoko,,18-Ago-1989,,"1.87 m / 6' 1""",,,
300,Carlo Costly,,18-Jul-1982,,"1.90 m / 6' 2""",,,
301,Peter Odemwingie,,15-Jul-1981,,"1.81 m / 5' 11""",,,
