anio,grupo,posicion,seleccion,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
2002,B,3,Sudáfrica,4,3,1,1,1,5,5,0,False
2002,B,4,Eslovenia,0,3,0,0,3,2,7,-5,False
2002,C,1,Brasil,9,3,3,0,0,11,3,8,True
2002,C,2,Turquía,4,3,1,1,1,5,3,2,True
2002,C,3,Costa Rica,4,3,1,1,1,5,6,-1,False
2002,C,4,China,0,3,0,0,3,0,9,-9,False
2002,D,1,Corea del Sur,7,3,2,1,0,4,1,3,True
2002,D,2,Estados Unidos,4,3,1,1,1,5,6,-1,True
2002,D,3,Portugal,3,3,1,0,2,6,4,2,False
2002,D,4,Polonia,3,3,1,0,2,3,7,-4,False
2002,E,1,Alemania,7,3,2,1,0,11,1,10,True
2002,E,2,Irlanda,5,3,1,2,0,5,2,3,True
2002,E,3,Camerún,4,3,1,1,1,2,3,-1,False
2002,E,4,Arabia Saudita,0,3,0,0,3,0,12,-12,False
2002,F,1,Suecia,5,3,1,2,0,4,3,1,True
2002,F,2,Inglaterra,5,3,1,2,0,2,1,1,True
2002,F,3,Argentina,4,3,1,1,1,2,2,0,False
2002,F,4,Nigeria,1,3,0,1,2,1,3,-2,False
2002,G,1,México,7,3,2,1,0,4,2,2,True
2002,G,2,Italia,4,3,1,1,1,4,3,1,True
2002,G,3,Croacia,3,3,1,0,2,2,3,-1,False
2002,G,4,Ecuador,3,3,1,0,2,2,4,-2,False
2002,H,1,Japón,7,3,2,1,0,5,2,3,True
2002,H,2,Bélgica,5,3,1,2,0,6,5,1,True
2002,H,3,Rusia,3,3,1,0,2,4,4,0,False
2002,H,4,Túnez,1,3,0,1,2,1,5,-4,False
1998,A,1,Brasil,6,3,2,0,1,6,3,3,True
1998,A,2,Noruega,5,3,1,2,0,5,4,1,True
1998,A,3,Marruecos,4,3,1,1,1,5,5,0,False
1998,A,4,Escocia,1,3,0,1,2,2,6,-4,False
1998,B,1,Italia,7,3,2,1,0,7,3,4,True
1998,B,2,Chile,3,3,0,3,0,4,4,0,True
1998,B,3,Austria,2,3,0,2,1,3,4,-1,False
1998,B,4,Camerún,2,3,0,2,1,2,5,-3,False
1998,C,1,Francia,9,3,3,0,0,9,1,8,True
1998,C,2,Dinamarca,4,3,1,1,1,3,3,0,True
1998,C,3,Sudáfrica,2,3,0,2,1,3,6,-3,False
1998,C,4,Arabia Saudita,1,3,0,1,2,2,7,-5,False
1998,D,1,Nigeria,6,3,2,0,1,5,5,0,True
1998,D,2,Paraguay,5,3,1,2,0,3,1,2,True
1998,D,3,España,4,3,1,1,1,8,4,4,False
1998,D,4,Bulgaria,1,3,0,1,2,1,7,-6,False
1998,E,1,Paises Bajos,5,3,1,2,0,7,2,5,True
1998,E,2,México,5,3,1,2,0,7,5,2,True
1998,E,3,Bélgica,3,3,0,3,0,3,3,0,False
1998,E,4,Corea del Sur,1,3,0,1,2,2,9,-7,False
1998,F,1,Alemania,7,3,2,1,0,6,2,4,True
1998,F,2,RF de Yugoslavia,7,3,2,1,0,4,2,2,True
1998,F,3,Irán,3,3,1,0,2,2,4,-2,False
1998,F,4,Estados Unidos,0,3,0,0,3,1,5,-4,False
1998,G,1,Rumania,7,3,2,1,0,4,2,2,True
1998,G,2,Inglaterra,6,3,2,0,1,5,2,3,True
1998,G,3,Colombia,3,3,1,0,2,1,3,-2,False
1998,G,4,Túnez,1,3,0,1,2,1,4,-3,False
1998,H,1,Argentina,9,3,3,0,0,7,0,7,True
1998,H,2,Croacia,6,3,2,0,1,4,2,2,True
1998,H,3,Jamaica,3,3,1,0,2,3,9,-6,False
1998,H,4,Japón,0,3,0,0,3,1,4,-3,False
1994,A,1,Rumania,6,3,2,0,1,5,5,0,True
1994,A,2,Suiza,4,3,1,1,1,5,4,1,True
1994,A,3,Estados Unidos,4,3,1,1,1,3,3,0,True
1994,A,4,Colombia,3,3,1,0,2,4,5,-1,False
1994,B,1,Brasil,7,3,2,1,0,6,1,5,True
1994,B,2,Suecia,5,3,1,2,0,6,4,2,True
1994,B,3,Rusia,3,3,1,0,2,7,6,1,False
1994,B,4,Camerún,1,3,0,1,2,3,11,-8,False
1994,C,1,Alemania,7,3,2,1,0,5,3,2,True
1994,C,2,España,5,3,1,2,0,6,4,2,True
1994,C,3,Corea del Sur,2,3,0,2,1,4,5,-1,False
1994,C,4,Bolivia,1,3,0,1,2,1,4,-3,False
1994,D,1,Nigeria,6,3,2,0,1,6,2,4,True
1994,D,2,Bulgaria,6,3,2,0,1,6,3,3,True
1994,D,3,Argentina,6,3,2,0,1,6,3,3,True
1994,D,4,Grecia,0,3,0,0,3,0,10,-10,False
1994,E,1,México,4,3,1,1,1,3,3,0,True
1994,E,2,Irlanda,4,3,1,1,1,2,2,0,True
1994,E,3,Italia,4,3,1,1,1,2,2,0,True
1994,E,4,Noruega,4,3,1,1,1,1,1,0,False
1994,F,1,Paises Bajos,6,3,2,0,1,4,3,1,True
1994,F,2,Arabia Saudita,6,3,2,0,1,4,3,1,True
1994,F,3,Bélgica,6,3,2,0,1,2,1,1,True
1994,F,4,Marruecos,0,3,0,0,3,2,5,-3,False
1990,A,1,Italia,6,3,3,0,0,4,0,4,True
1990,A,2,Checoslovaquia,4,3,2,0,1,6,3,3,True
1990,A,3,Austria,2,3,1,0,2,2,3,-1,False
1990,A,4,Estados Unidos,0,3,0,0,3,2,8,-6,False
1990,B,1,Camerún,4,3,2,0,1,3,5,-2,True
1990,B,2,Rumania,3,3,1,1,1,4,3,1,True
1990,B,3,Argentina,3,3,1,1,1,3,2,1,True
1990,B,4,URSS,2,3,1,0,2,4,4,0,False
1990,C,1,Brasil,6,3,3,0,0,4,1,3,True
1990,C,2,Costa Rica,4,3,2,0,1,3,2,1,True
1990,C,3,Escocia,2,3,1,0,2,2,3,-1,False
1990,C,4,Suecia,0,3,0,0,3,3,6,-3,False
1990,D,1,Alemania Occidental,5,3,2,1,0,10,3,7,True
1990,D,2,Yugoslavia,4,3,2,0,1,6,5,1,True
1990,D,3,Colombia,3,3,1,1,1,3,2,1,True
1990,D,4,Emiratos Arabes,0,3,0,0,3,2,11,-9,False
1990,E,1,España,5,3,2,1,0,5,2,3,True
1990,E,2,Bélgica,4,3,2,0,1,6,3,3,True
1990,E,3,Uruguay,3,3,1,1,1,2,3,-1,True
1990,E,4,Corea del Sur,0,3,0,0,3,1,6,-5,False
1990,F,1,Inglaterra,4,3,1,2,0,2,1,1,True
1990,F,2,Irlanda,3,3,0,3,0,2,2,0,True
1990,F,3,Paises Bajos,3,3,0,3,0,2,2,0,True
1990,F,4,Egipto,2,3,0,2,1,1,2,-1,False
1986,A,1,Argentina,5,3,2,1,0,6,2,4,True
1986,A,2,Italia,4,3,1,2,0,5,4,1,True
1986,A,3,Bulgaria,2,3,0,2,1,2,4,-2,True
1986,A,4,Corea del Sur,1,3,0,1,2,4,7,-3,False
