anio,seleccion,seleccion_slug,jugador,jugador_slug,posicion,camiseta,fecha_nacimiento,altura,club,rol
1994,Rumania,rumania,Florin Prunea,florin_prunea,AR,1,08-Ago-1968,,08-Ago-1968,jugador
1994,Rumania,rumania,Bogdan Stelea,bogdan_stelea,AR,12,05-Dic-1967,,05-Dic-1967,jugador
1994,Rumania,rumania,Stefan Preda,stefan_preda,AR,22,18-Jun-1970,,18-Jun-1970,jugador
1994,Rumania,rumania,Dan Petrescu,dan_petrescu,DF,2,22-Dic-1967,,22-Dic-1967,jugador
1994,Rumania,rumania,Daniel Prodan,daniel_prodan,DF,3,23-Mar-1972,,23-Mar-1972,jugador
1994,Rumania,rumania,Miodrag Belodedici,miodrag_belodedici,DF,4,20-May-1964,,20-May-1964,jugador
1994,Rumania,rumania,Gheorghe Popescu,gheorghe_popescu,DF,6,09-Oct-1967,,09-Oct-1967,jugador
1994,Rumania,rumania,Tibor Selymes,tibor_selymes,DF,13,14-May-1970,,14-May-1970,jugador
1994,Rumania,rumania,Gheorghe Mihali,gheorghe_mihali,DF,14,09-Dic-1965,,09-Dic-1965,jugador
1994,Rumania,rumania,Corneliu Papura,corneliu_papura,DF,19,05-Sep-1973,,05-Sep-1973,jugador
1994,Rumania,rumania,Ioan Lupescu,ioan_lupescu,MC,5,09-Dic-1968,,09-Dic-1968,jugador
1994,Rumania,rumania,Dorinel Munteanu,dorinel_munteanu,MC,7,25-Jun-1968,,25-Jun-1968,jugador
1994,Rumania,rumania,Iulian Chirita,iulian_chirita,MC,8,02-Feb-1967,,02-Feb-1967,jugador
1994,Rumania,rumania,Gheorghe Hagi,gheorghe_hagi,MC,10,05-Feb-1965,,05-Feb-1965,jugador
1994,Rumania,rumania,Nica Panduru,nica_panduru,MC,15,11-Jul-1970,,11-Jul-1970,jugador
1994,Rumania,rumania,Constantin Galca,constantin_galca,MC,18,08-Mar-1972,,08-Mar-1972,jugador
1994,Rumania,rumania,Ovidiu Stanga,ovidiu_stanga,MC,20,05-Dic-1972,,05-Dic-1972,jugador
1994,Rumania,rumania,Florin Raducioiu,florin_raducioiu,DL,9,17-Mar-1970,,17-Mar-1970,jugador
1994,Rumania,rumania,Ilie Dumitrescu,ilie_dumitrescu,DL,11,06-Ene-1969,,06-Ene-1969,jugador
1994,Rumania,rumania,Ion Vladoiu,ion_vladoiu,DL,16,05-Nov-1968,,05-Nov-1968,jugador
1994,Rumania,rumania,Viorel Moldovan,viorel_moldovan,DL,17,08-Ago-1972,,08-Ago-1972,jugador
1994,Rumania,rumania,Marian Ivan,marian_ivan,DL,21,01-Jun-1969,,01-Jun-1969,jugador
1994,Rumania,rumania,Anghel Iordanescu,,DT,,,,,entrenador
1994,Suiza,suiza,Marco Pascolo,marco_pascolo,AR,1,09-May-1966,,09-May-1966,jugador
1994,Suiza,suiza,Stephan Lehmann,stephan_lehmann,AR,12,15-Ago-1963,,15-Ago-1963,jugador
1994,Suiza,suiza,Martin Brunner,martin_brunner,AR,22,23-Apr-1963,,23-Apr-1963,jugador
1994,Suiza,suiza,Marc Hottiger,marc_hottiger,DF,2,07-Nov-1967,,07-Nov-1967,jugador
1994,Suiza,suiza,Yvan Quentin,yvan_quentin,DF,3,02-May-1970,,02-May-1970,jugador
1994,Suiza,suiza,Dominique Herr,dominique_herr,DF,4,25-Oct-1965,,25-Oct-1965,jugador
1994,Suiza,suiza,Alain Geiger,alain_geiger,DF,5,05-Nov-1960,,05-Nov-1960,jugador
1994,Suiza,suiza,Andy Egli,andy_egli,DF,13,08-May-1958,,08-May-1958,jugador
1994,Suiza,suiza,Martin Rueda,martin_rueda,DF,18,09-Ene-1963,,09-Ene-1963,jugador
1994,Suiza,suiza,Juerg Studer,juerg_studer,DF,19,08-Sep-1966,,08-Sep-1966,jugador
1994,Suiza,suiza,Georges Bregy,georges_bregy,MC,6,17-Ene-1958,,17-Ene-1958,jugador
1994,Suiza,suiza,Alain Sutter,alain_sutter,MC,7,22-Ene-1968,,22-Ene-1968,jugador
1994,Suiza,suiza,Christophe Ohrel,christophe_ohrel,MC,8,07-Apr-1968,,07-Apr-1968,jugador
1994,Suiza,suiza,Ciriaco Sforza,ciriaco_sforza,MC,10,02-Mar-1970,,02-Mar-1970,jugador
