tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
2322,653,37,838,amarilla,40
2323,653,1,2535,amarilla,46
2324,654,67,921,amarilla,43
2325,654,67,2536,amarilla,51
2326,654,67,804,amarilla,57
2327,654,53,2537,amarilla,57
2328,655,67,897,amarilla,62
2329,655,67,2458,amarilla,71
2330,655,37,862,amarilla,79
2331,656,53,868,amarilla,31
2332,656,1,2538,amarilla,61
2333,656,53,2534,amarilla,73
2334,656,1,2526,amarilla,73
2335,656,1,754,amarilla,88
2336,659,53,924,amarilla,35
2337,659,37,834,amarilla,60
2338,659,37,2539,amarilla,
2339,661,50,2540,amarilla,
2340,664,10,240,amarilla,
2341,665,1,1004,amarilla,
2342,665,59,926,amarilla,
2343,666,37,884,amarilla,88
2344,668,43,946,amarilla,26
2345,668,43,2541,amarilla,64
2346,669,63,959,amarilla,25
2347,669,66,2542,amarilla,
2348,670,35,2543,amarilla,
2349,671,50,2540,amarilla,
2350,673,53,940,amarilla,60
2351,674,81,2544,amarilla,
2352,674,1,936,amarilla,
2353,677,50,2545,amarilla,60
2354,679,32,950,amarilla,
2355,683,66,947,amarilla,75
2356,683,10,952,amarilla,80
2357,684,67,2546,amarilla,75
2358,684,5,2522,amarilla,80
2359,685,10,2547,amarilla,45
2360,685,5,2548,amarilla,48
2361,685,10,832,amarilla,67
2362,685,10,871,amarilla,74
2363,686,66,2549,amarilla,89
2364,686,67,986,amarilla,
2365,686,66,2550,amarilla,
2366,686,67,896,amarilla,
2367,687,63,955,amarilla,6
2368,687,63,967,amarilla,88
2369,687,63,967,roja,88
2370,687,1,2551,amarilla,
2371,689,66,2552,amarilla,36
2372,689,66,947,amarilla,48
2373,690,63,951,amarilla,35
2374,690,53,940,amarilla,40
2375,690,63,958,amarilla,50
2376,690,53,2434,amarilla,65
2377,690,53,924,amarilla,70
2378,691,10,2553,amarilla,50
2379,691,10,2554,amarilla,53
2380,692,7,2555,amarilla,
2381,692,1,957,amarilla,
2382,692,7,2556,amarilla,
2383,693,10,963,amarilla,35
2384,693,10,2557,amarilla,44
2385,693,53,2533,amarilla,72
2386,694,63,1002,amarilla,15
2387,694,5,867,amarilla,40
2388,694,5,2558,amarilla,93
2389,694,63,2559,amarilla,94
2390,694,63,996,amarilla,96
2391,695,85,980,amarilla,17
2392,695,85,2560,amarilla,49
2393,696,17,2561,amarilla,12
2394,696,17,2562,amarilla,48
2395,696,17,2563,amarilla,59
2396,696,17,2562,roja,67
2397,697,1,2564,amarilla,
2398,697,1,2565,amarilla,
2399,697,1,2566,amarilla,
2400,698,86,2567,amarilla,40
2401,698,32,2568,amarilla,99
2402,700,5,972,amarilla,
2403,700,5,2569,amarilla,
2404,702,83,2570,amarilla,25
2405,702,83,2571,amarilla,50
2406,702,83,2572,amarilla,65
2407,702,83,2573,roja,69
2408,704,6,2574,amarilla,56
2409,705,86,2575,roja,23
2410,705,85,2576,amarilla,
2411,706,17,2577,amarilla,56
2412,706,17,2578,amarilla,60
2413,706,1,2566,amarilla,65
2414,707,63,951,amarilla,16
2415,707,76,2579,amarilla,36
2416,707,76,2580,amarilla,68
2417,707,76,2581,amarilla,74
2418,707,76,2582,amarilla,86
2419,708,53,940,amarilla,48
2420,708,5,972,amarilla,54
2421,709,41,2583,amarilla,
2422,711,10,2584,amarilla,77
2423,711,86,2585,amarilla,78
2424,712,1,990,amarilla,27
2425,712,1,2586,amarilla,81
2426,712,1,2587,amarilla,84
2427,713,6,2588,amarilla,37
2428,713,6,2588,amarilla,83
2429,714,85,980,amarilla,24
2430,714,85,978,amarilla,55
