anio,grupo,posicion,seleccion_id,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
1966,2,1,1,5,3,2,1,0,7,1,6,True
1966,2,2,5,5,3,2,1,0,4,1,3,True
1966,2,3,35,2,3,1,0,2,4,5,-1,False
1966,2,4,129,0,3,0,0,3,1,9,-8,False
1966,4,1,124,6,3,3,0,0,6,1,5,True
1966,4,2,20,3,3,1,1,1,2,4,-2,True
1966,4,3,53,2,3,1,0,2,2,2,0,False
1966,4,4,17,1,3,0,1,2,2,5,-3,False
1962,1,1,124,5,3,2,1,0,8,5,3,True
1962,1,2,137,4,3,2,0,1,8,3,5,True
1962,1,3,135,2,3,1,0,2,4,6,-2,False
1962,1,4,19,1,3,0,1,2,5,11,-6,False
1962,2,1,1,5,3,2,1,0,4,1,3,True
1962,2,2,17,4,3,2,0,1,5,3,2,True
1962,2,3,53,3,3,1,1,1,3,2,1,False
1962,2,4,129,0,3,0,0,3,2,8,-6,False
1962,3,1,10,5,3,2,1,0,4,1,3,True
1962,3,2,122,3,3,1,1,1,2,3,-1,True
1962,3,3,111,2,3,1,0,2,3,4,-1,False
1962,3,4,35,2,3,1,0,2,2,3,-1,False
1962,4,1,43,5,3,2,1,0,8,2,6,True
1962,4,2,46,3,3,1,1,1,4,3,1,True
1962,4,3,5,3,3,1,1,1,2,3,-1,False
1962,4,4,11,1,3,0,1,2,1,7,-6,False
1958,1,1,1,4,3,1,2,0,7,5,2,True
1958,1,2,49,3,3,1,1,1,4,5,-1,True
1958,1,3,122,3,3,1,1,1,8,4,4,False
1958,1,4,5,2,3,1,0,2,5,10,-5,False
1958,2,1,37,4,3,2,0,1,11,7,4,True
1958,2,2,137,4,3,1,2,0,7,6,1,True
1958,2,3,117,3,3,1,1,1,9,12,-3,False
1958,2,4,32,1,3,0,1,2,4,6,-2,False
1958,3,1,128,5,3,2,1,0,5,1,4,True
1958,3,2,38,3,3,0,3,0,2,2,0,True
1958,3,3,43,3,3,1,1,1,6,3,3,False
1958,3,4,111,1,3,0,1,2,1,8,-7,False
1958,4,1,10,5,3,2,1,0,5,0,5,True
1958,4,2,124,3,3,1,1,1,4,4,0,True
1958,4,3,46,3,3,0,3,0,4,4,0,False
1958,4,4,7,1,3,0,1,2,2,7,-5,False
1954,1,1,10,3,2,1,1,0,6,1,5,True
1954,1,2,137,3,2,1,1,0,2,1,1,True
1954,1,3,37,2,2,1,0,1,3,3,0,False
1954,1,4,111,0,2,0,0,2,2,8,-6,False
1954,2,1,43,4,2,2,0,0,17,3,14,True
1954,2,2,1,2,2,1,0,1,7,9,-2,True
1954,2,3,132,2,2,1,0,1,8,4,4,False
1954,2,4,21,0,2,0,0,2,0,16,-16,False
1954,3,1,135,4,2,2,0,0,9,0,9,True
1954,3,2,7,4,2,2,0,0,6,0,6,True
1954,3,3,122,0,2,0,0,2,0,7,-7,False
1954,3,4,32,0,2,0,0,2,0,8,-8,False
1954,4,1,46,3,2,1,1,0,6,4,2,True
1954,4,2,129,2,2,1,0,1,2,3,-1,True
1954,4,3,53,2,2,1,0,1,5,3,2,False
1954,4,4,12,1,2,0,1,1,5,8,-3,False
1950,F,1,135,5,3,2,1,0,7,5,2,True
1950,F,2,10,4,3,2,0,1,14,4,10,False
1950,F,3,128,2,3,1,0,2,6,11,-5,False
1950,F,4,35,1,3,0,1,2,4,11,-7,False
1950,1,1,10,5,3,2,1,0,8,2,6,True
1950,1,2,137,4,3,2,0,1,7,3,4,False
1950,1,3,129,3,3,1,1,1,4,6,-2,False
1950,1,4,111,0,3,0,0,3,2,10,-8,False
1950,2,1,35,6,3,3,0,0,6,1,5,True
1950,2,2,46,2,3,1,0,2,2,2,0,False
1950,2,3,17,2,3,1,0,2,5,6,-1,False
1950,2,4,36,2,3,1,0,2,4,8,-4,False
